date,feature,z_score,z_1d_chg,raw_value,mean_252d,direction,signal,entry_z,instrument,description,leg1,leg2,contracts,dv01_gross,note
2026-02-27,gc_comex_carry_2m,-1.185,-0.051,4.6159,4.8558,-,watch,1.5,COMEX GC Calendar Spread — Front/Second,Short GC calendar spread: sell nearby / buy deferred,"SELL GC front (short nearby, -1 contracts)","BUY  GC second (long deferred, +1 contracts)",1,8.94,CME electronic execution; tight bid/ask on calendar spread
2026-02-27,gc_comex_carry_4m,-1.134,-0.031,4.4533,4.6139,-,watch,1.5,COMEX GC Calendar Spread — Front/Third,Short GC 1/3 calendar: sell front / buy 3rd contract,SELL GC front (-1 contracts),BUY  GC third (+1 contracts),1,17.89,CME electronic execution; wider spread than 1/2 calendar
2026-02-27,si_comex_carry_2m,-1.791,-0.07,3.8779,6.1916,LONG,ENTRY SIGNAL,1.5,COMEX SI Calendar Spread — Front/Second,Long SI calendar spread,BUY  SI front (+50 contracts @5000oz ea),SELL SI second (-50 contracts),1,0.16,"1 SI contract = 5,000 troy oz; adjust contract count accordingly"
2026-02-27,gc_cal_curvature,0.689,0.061,-0.1626,-0.2419,-,watch,1.5,gc_cal_curvature,-,-,-,1,0.0,
2026-02-27,gc_si_cal_ratio,2.046,0.136,1.1903,0.8162,SHORT,ENTRY SIGNAL,1.5,gc_si_cal_ratio,-,-,-,1,0.0,
2026-02-27,gc_comex_lbma_basis,0.13,-0.103,0.7009,0.6593,-,watch,1.5,GC/XAU COMEX/LBMA Carry Basis,Short GC/XAU COMEX/LBMA basis: COMEX rich vs LBMA,SELL GC calendar spread (COMEX futures),RECEIVE fixed XAU swap 2m (LBMA OTC),1,8.94,*** CROSS-VENUE: requires simultaneous COMEX futures + LBMA OTC swap execution. Alert dealer before entry.
2026-02-27,si_comex_lbma_basis,-1.063,0.013,2.1654,7.0656,-,watch,1.5,SI/XAG COMEX/LBMA Carry Basis,Short SI/XAG COMEX/LBMA basis: COMEX rich vs LBMA,SELL SI calendar spread (COMEX futures),RECEIVE fixed XAG swap 2m (LBMA OTC),1,8.94,*** CROSS-VENUE: requires simultaneous COMEX futures + LBMA OTC swap execution. Alert dealer before entry.
2026-02-27,gc_si_comex_basis_spread,1.103,-0.021,-1.4645,-6.4063,-,watch,1.5,GC/XAU COMEX/LBMA Carry Basis,Short GC/XAU COMEX/LBMA basis: COMEX rich vs LBMA,SELL GC calendar spread (COMEX futures),RECEIVE fixed XAU swap 2m (LBMA OTC),1,8.94,*** CROSS-VENUE: requires simultaneous COMEX futures + LBMA OTC swap execution. Alert dealer before entry.
2026-02-27,gc_comex_curve_slope,0.689,0.061,-0.0813,-0.121,-,watch,1.5,gc_comex_curve_slope,-,-,-,1,0.0,
2026-02-27,comex_lbma_slope_basis,0.395,-0.133,-0.064,-0.0523,-,watch,1.5,SI/XAG COMEX/LBMA Carry Basis,Short SI/XAG COMEX/LBMA basis: COMEX rich vs LBMA,SELL SI calendar spread (COMEX futures),RECEIVE fixed XAG swap 2m (LBMA OTC),1,8.94,*** CROSS-VENUE: requires simultaneous COMEX futures + LBMA OTC swap execution. Alert dealer before entry.
